WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	BldRootFlapM_[kN.m]	BldRootMx_[kN.m]	BldRootMz_[kN.m]	BldRootThrust_[kN]	RotThrust_[kN]	RotTorque_[kN.m]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN.m]	PtfmSurge_[m]	PtfmSway_[m]	PtfmHeave_[m]	PtfmRoll_[deg]	PtfmPitch_[deg]	PtfmYaw_[deg]	TT_Disp_FA_[m]	TT_Disp_FA_[m]	TwrB_Fx_FA_[kN]	TwrB_Fy_SS_[kN]	TwrB_Fz_[kN]	TwrB_Mx_SS_[kN.m]	TwrB_My_FA_[kN.m]	TwrB_My_FA_[kN.m]	TwrB_Mz_Yaw_[kN.m]
3.0	6.97	0.0	1726.94	-393.86	-14.33	51.07	179.88	57.15	676.1	39.38	0.59	2.53	0.01	-0.02	-0.0	0.46	-0.02	0.03	0.03	123.87	0.68	-5887.52	5.4	7504.16	7504.16	-36.43
4.0	7.19	0.0	2364.2	-40.13	-11.66	68.83	230.78	252.32	696.95	179.24	2.6	3.78	0.01	-0.04	0.01	0.79	-0.02	0.06	0.06	200.69	0.2	-5890.92	232.09	13122.14	13122.14	-45.96
5.0	7.51	0.0	3018.76	-164.06	-7.29	85.94	290.1	546.46	728.36	405.68	5.63	5.4	0.0	-0.06	0.02	1.15	-0.03	0.1	0.1	289.53	-0.58	-5894.69	580.71	19631.39	19631.39	-60.68
6.0	7.94	0.0	3868.18	674.12	-8.42	109.71	358.7	940.93	770.48	738.91	9.7	7.47	-0.0	-0.1	0.03	1.58	-0.03	0.14	0.14	392.61	-1.59	-5898.84	1045.71	27178.04	27178.04	-64.66
7.0	8.47	0.0	4771.6	665.98	-4.69	134.72	434.93	1417.03	821.33	1186.21	14.61	9.77	-0.01	-0.14	0.05	2.05	-0.04	0.18	0.18	507.12	-2.71	-5903.08	1599.84	35537.78	35537.78	-79.51
8.0	9.15	0.0	5812.12	614.69	-0.23	163.9	523.03	1952.17	887.09	1765.09	20.13	12.48	-0.02	-0.2	0.07	2.6	-0.06	0.23	0.23	639.5	-3.63	-5907.45	2198.42	45175.22	45175.22	-102.41
9.0	10.27	0.0	7198.74	843.53	0.05	203.99	634.72	2461.2	996.04	2498.64	25.38	15.89	-0.02	-0.28	0.08	3.3	-0.07	0.3	0.3	807.33	-3.71	-5912.09	2710.35	57344.18	57344.18	-131.09
10.0	11.38	0.0	8631.12	919.35	2.63	245.79	757.26	3022.33	1103.75	3400.05	31.16	19.69	-0.02	-0.39	0.09	4.06	-0.1	0.37	0.37	991.63	-3.38	-5916.03	3245.47	70685.26	70685.26	-166.71
11.0	11.88	0.0	9823.82	1178.95	6.56	280.84	866.32	3801.48	1152.39	4464.66	39.19	23.08	-0.03	-0.5	0.11	4.75	-0.12	0.43	0.43	1155.97	-3.74	-5918.69	4048.82	82613.96	82613.96	-198.55
12.0	12.07	3.14	8822.88	1315.97	1.82	257.41	787.36	4181.69	1170.57	4986.64	43.09	20.59	-0.1	-0.42	0.14	4.22	-0.16	0.38	0.38	1035.0	-7.99	-5917.35	4735.2	74005.18	74005.18	-273.16
13.0	12.13	6.33	7486.55	1336.07	-7.05	225.57	683.04	4181.14	1176.7	5012.78	43.09	19.51	-0.16	-0.35	0.14	3.58	-0.26	0.33	0.33	881.23	-10.36	-5912.47	4900.25	62826.74	62826.74	-460.23
14.0	12.13	8.58	6619.99	1361.79	-13.47	205.72	619.44	4180.27	1176.32	5011.15	43.09	16.96	-0.18	-0.28	0.15	3.21	-0.33	0.29	0.29	786.62	-11.34	-5908.58	4964.19	55968.73	55968.73	-588.38
15.0	12.11	10.4	5994.28	1317.08	-17.51	191.97	575.15	4180.12	1174.52	5003.5	43.09	14.82	-0.2	-0.23	0.15	2.93	-0.38	0.26	0.26	719.73	-11.94	-5905.41	5001.42	51139.82	51139.82	-699.48
16.0	12.1	12.01	5502.21	1298.36	-21.39	181.79	541.78	4180.26	1173.79	5000.39	43.09	13.62	-0.21	-0.2	0.15	2.73	-0.44	0.25	0.25	669.51	-12.12	-5902.47	5007.76	47516.81	47516.81	-810.28
17.0	12.1	13.5	5080.16	1332.13	-25.48	173.44	514.92	4180.3	1173.84	5000.59	43.09	12.84	-0.22	-0.18	0.14	2.56	-0.5	0.23	0.23	629.49	-12.0	-5899.68	4991.74	44629.21	44629.21	-924.86
18.0	12.1	14.89	4710.47	1341.03	-28.95	166.42	492.7	4180.24	1173.86	5000.69	43.09	12.13	-0.22	-0.16	0.14	2.43	-0.57	0.22	0.22	596.47	-11.68	-5896.94	4960.54	42254.88	42254.88	-1050.43
19.0	12.1	16.2	4393.79	1301.89	-31.52	160.8	474.25	4180.19	1173.78	5000.34	43.09	11.5	-0.22	-0.14	0.14	2.31	-0.63	0.21	0.21	569.07	-11.2	-5894.24	4918.46	40294.56	40294.56	-1175.14
20.0	12.1	17.46	4111.58	1288.69	-34.07	156.11	458.66	4180.16	1173.71	5000.02	43.09	11.0	-0.22	-0.12	0.14	2.22	-0.69	0.2	0.2	545.94	-10.59	-5891.6	4866.45	38643.27	38643.27	-1284.94
21.0	12.1	18.69	3848.36	1316.72	-36.95	151.63	444.6	4180.15	1173.66	4999.81	43.09	10.55	-0.21	-0.11	0.13	2.13	-0.72	0.19	0.19	525.09	-9.96	-5889.22	4815.4	37134.9	37134.9	-1334.51
22.0	12.1	19.96	3612.35	1329.65	-39.72	147.39	431.41	4180.13	1173.63	4999.68	43.09	10.14	-0.19	-0.09	0.13	2.05	-0.71	0.18	0.18	505.44	-9.32	-5887.04	4766.91	35687.6	35687.6	-1329.45
23.0	12.1	21.18	3406.08	1305.57	-41.58	143.98	420.26	4180.13	1173.63	4999.71	43.09	9.8	-0.18	-0.08	0.13	1.99	-0.77	0.18	0.18	489.07	-8.35	-5884.1	4688.5	34509.62	34509.62	-1444.99
24.0	12.1	22.36	3214.14	1276.6	-43.23	141.08	410.38	4180.12	1173.63	4999.68	43.09	9.49	-0.17	-0.07	0.12	1.93	-0.86	0.17	0.17	474.73	-7.27	-5880.92	4599.72	33493.9	33493.9	-1604.93
25.0	12.1	23.47	3030.51	1279.52	-44.92	138.59	402.22	4180.12	1173.64	4999.73	43.09	9.24	-0.17	-0.05	0.11	1.88	-0.95	0.17	0.17	463.02	-6.04	-5877.46	4499.75	32680.45	32680.45	-1772.91
26.0	12.1	24.55	2843.63	1302.49	-46.75	135.96	394.53	4180.09	1173.64	4999.73	43.09	9.01	-0.15	-0.04	0.1	1.84	-1.03	0.16	0.16	451.98	-4.57	-5874.04	4382.45	31912.53	31912.53	-1932.54
27.0	12.1	25.59	2672.62	1308.98	-48.33	133.76	388.04	4180.11	1173.63	4999.68	43.09	8.81	-0.14	-0.03	0.1	1.8	-1.11	0.16	0.16	442.88	-3.01	-5870.4	4259.72	31285.98	31285.98	-2092.1
28.0	12.1	26.6	2529.12	1271.23	-49.42	132.28	382.37	4180.14	1173.65	4999.8	43.09	8.64	-0.12	-0.02	0.09	1.77	-1.2	0.16	0.16	434.96	-1.21	-5866.6	4118.13	30743.72	30743.72	-2252.89
